CarKey, Engine Size (L) , Horsepower , Torque (Nm) , Top Speed (mph) , Mileage (MPG) , Price ($) , Sales Figures (Units Sold) 
2023KiaSoul,2,147,132,115,32,"21,490","2,200"
2023ChevroletCorvette,6.2,490,470,190,21,"75,590","1,000"
2023FordExplorer,2.3,300,420,130,27,"37,775","1,800"
2023JeepWrangler,3,285,260,110,20,"33,590","1,600"
2023AudiA5,2,261,273,130,34,"45,000","1,900"
2023SubaruOutback,2.4,260,277,135,29,"27,845","1,400"
2023BMWX5,3,389,330,155,23,"62,695","1,800"
2023NissanRogue Sport,2.5,181,181,130,32,"23,430","1,700"
2023VolvoXC40,2,248,258,140,27,"35,700","1,600"
2023MazdaMX-5 Miata,2,181,151,120,34,"27,775","1,000"
2023LexusES,3.5,302,267,130,34,"40,325","1,900"
2023SubaruForester,2.5,182,176,130,28,"25,195","1,500"
2023AudiQ5,2,261,273,130,28,"45,600","2,100"
2023HyundaiSanta Fe,2.5,191,182,130,26,"27,700","1,700"
2023AcuraRDX,2,272,280,135,27,"39,000","1,900"
2023MazdaMazda6,2.5,187,186,130,31,"24,325","1,200"
2023LexusRX,3.5,290,263,130,29,"48,500","1,800"
2023KiaSportage,2.4,181,175,130,27,"25,000","2,000"
2023BMW5 Series,2,248,258,130,31,"54,200","2,200"
2023FordEscape,1.5,181,190,130,30,"27,650","1,500"
2023InfinitiQX50,2,268,280,135,29,"40,100","1,800"
2023NissanPathfinder,3.5,284,259,120,26,"33,410","1,600"
2023VolvoXC60,2,250,258,140,26,"42,400","1,800"
2023SubaruLegacy,2.4,182,176,130,35,"22,995","1,500"
2023AcuraMDX,3.5,290,267,130,27,"46,900","2,100"
2023MazdaCX-5,2.5,187,186,130,31,"55,000","2,340"
